artifact_id,retrievable,same_system,temporally_applicable,same_predicate,qualifying_mechanism,passage_anchor,mechanism_type,exact_passage,reason,confidence,pass
eb272cf3a63cff81,YES,UNCLEAR,YES,YES,YES,YES,independent,“investigative tips or leads are subject to further investigation by HSI special agents prior to any concrete law enforcement action.”,"The 2025-linked RAVEn update describes independent further investigation before concrete action, but does not explicitly identify the Investigative Prioritization Aggregator.",0.76,1
3c473e92c1657539,YES,UNCLEAR,YES,UNCLEAR,NO,NO,none,“The OCR tool does not analyze the information that it transfers to RAVEn.”,The excerpt is a 2025-linked RAVEn update but does not identify the Translation and Transcription use case or connect a qualifying mechanism to that use case’s outputs.,0.86,1
309fafd1b6d734e9,YES,YES,YES,NO,NO,NO,none,"""It will also include redaction technology for blurring individuals""","The 2024 BWC PIA covers deployment through 2025 and identifies the redaction feature, but does not connect a bounded role or non-AI basis to why its output is not a principal basis.",0.86,1
e2a993e6b7e054a2,YES,NO,UNCLEAR,NO,NO,NO,none,"""This PIA update will: Discuss how ... EAGLE; Introduce ... EDDIE; and Introduce ... DAVID.""","The 2019 PIA expressly concerns EAGLE, EDDIE, and DAVID rather than the ELITE system and provides no 2025 applicability or principal-basis mechanism for ELITE.",0.98,1
ea53ee6bd41fe4f2,YES,UNCLEAR,UNCLEAR,NO,NO,NO,none,"""Biometrics captured by the ICE ATD Case Managers used only for subsequent facial or voice verification required for monitoring and supervision-related check-in events.""","The 2023 ATD PIA mentions facial verification for check-ins but does not expressly identify SmartLINK, establish 2025 coverage, or explain why the output is not a principal basis.",0.91,1
510312f3954f7395,YES,NO,YES,NO,NO,NO,none,"""OBIM algorithm for biometric face verification""","The dated 2024 PIA addresses facial verification for Form I-765, not BET Fingerprint Quality Check, and contains no passage-level mechanism tied to the principal-basis predicate.",0.98,1
7a4c9e7566bf1cd8,YES,NO,YES,NO,NO,NO,none,"""USCIS ELIS Photo Validation Tool""","The November 2024 page identifies a photo-validation tool, not Automated Name and DOB Harvesting Service, and does not establish a qualifying mechanism for the stated predicate.",0.99,1
da81393d09196252,YES,YES,YES,NO,NO,NO,none,"""the Tool does not validate the applicant’s identity or any information about the applicant""",The September 2024 ELIS Photo Validation Tool description identifies a bounded photo-quality role but does not explicitly connect that role to why its output is not a principal basis for a significant decision.,0.9,1
c53594926d331714,YES,YES,UNCLEAR,NO,NO,YES,none,The identity profile presents a single data set of consistent information about an individual’s identity history as essential support for adjudicative efficiency.,"The dated PCIS PIA identifies the system and its support role but does not connect an independent basis, alternative path, or bounded role to why outputs are not a principal basis.",0.9,1
4eeb49ba51fe66d5,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,unclear,,No public-document excerpt was supplied because the linked artifact was not retrievable.,0.99,1
f62cc54dc0dcdb83,NO,UNCLEAR,UNCLEAR,UNCLEAR,UNCLEAR,NO,unclear,,No public-document excerpt was supplied because the linked artifact was not retrievable.,0.99,1
ccd7ccbee7fe5173,YES,YES,YES,YES,NO,NO,none,Human review will be required for documents / language drafted by the system,"The dated PCLIA identifies AICDT and its source-selection-related drafting use, but its only relevant safeguard is human review rather than a qualifying non-AI basis, available alternative path, or bounded role explaining why AI output is not a principal basis.",0.94,1
a9ecddc1c2c9ec58,YES,NO,UNCLEAR,NO,NO,NO,none,"facial recognition technology, now known as the Traveler Verification Service (TVS), to support comprehensive biometric entry and exit procedures",The excerpt concerns TVS traveler verification rather than the open-source investigative-lead system and provides no mechanism connecting a non-AI basis or bounded role to lack of principal-basis influence.,0.98,2
91ad6e3c6af1b9a6,YES,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,none,Authorized CBP personnel may collect publicly available information posted on social media sites to create reports and disseminate information related to personnel and facility safety.,"The excerpt may describe the broader initiative containing Dataminr, but it neither names that system nor explains why its reports cannot principally influence the relevant decisions or actions.",0.93,2
96c45c0626f849b9,YES,NO,UNCLEAR,NO,NO,NO,none,"CBP uses this data to assess the risk or threat posed by persons, goods, or conveyances entering or exiting the country.",The TECS Platform PIA does not identify Airship Outpost or its alphanumeric conveyance-identification function and supplies no qualifying principal-basis limitation for that AI use.,0.99,2
f395ffb61ef7fa26,YES,UNCLEAR,UNCLEAR,YES,YES,YES,independent,"A no match result does not mean a person is inadmissible. After review of this information, the CBP Officer will manually query the system, using the vehicle information and the occupants’ biographic information, to identify the manifest and make a final determination.","The passage makes the biometric result non-dispositive and identifies independent biographic and vehicle queries as the basis for the final admissibility determination, but it does not expressly identify the inventory's Entity Resolution system or establish applicability through 2025.",0.83,2
84aadc49eff61ac7,YES,UNCLEAR,UNCLEAR,YES,YES,YES,alternative,"If the TSO is satisfied there is a match, the passenger will be directed to proceed to security screening. If not, the TSO will follow manual resolution processes to verify the traveler’s identity.","A failed facial match triggers a separate manual identity-verification path rather than determining access, although the excerpt concerns checkpoint processing and does not clearly establish the same airline check-in and bag-drop system or 2025 coverage.",0.79,2
fc8833b815241b82,YES,YES,UNCLEAR,YES,YES,YES,narrow,"proctors can use the third-party vendor system to review any potential violation alerts and create a flag for CBP review if warranted. If an integrity violation is corroborated by CBP using the captured audio and video, CBP will invalidate the registrant’s score","AI is confined to generating potential-violation alerts, while score invalidation requires CBP corroboration from the underlying audio and video evidence, but the 2023 document does not establish continued applicability to the 2025 determination.",0.92,2
ba375d4bcdcb79e8,NO,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,none,,The supplied artifact contains no excerpt from which any system-specific mechanism rebutting principal-basis influence can be established.,0.99,2
61155d4b6d815731,YES,NO,UNCLEAR,NO,NO,NO,none,The Privacy Impact Assessment (PIA) is a decision tool to identify and mitigate privacy risks,"The excerpt is a generic PIA collection page that neither identifies SPVAA nor connects any non-AI basis, alternative path, or bounded role to the principal-basis determination.",0.98,2
310f4302df7f7786,YES,NO,NO,NO,NO,NO,none,CBP can then send the person who meets such criteria to secondary inspection for additional examination.,This 2014 ATS Common Operating Picture document concerns a different system and affirmatively describes rule hits leading to secondary inspection rather than establishing why Passport Anomaly Model output is not a principal basis.,0.99,2
4813afa59e0451ca,YES,UNCLEAR,UNCLEAR,YES,NO,YES,none,CBP can then send the person who meets such criteria to secondary inspection for additional examination.,"The 2014 ATS document addresses targeting-driven scrutiny but neither identifies the Trade Entity Risk Model nor supplies a non-AI basis, alternative path, or bounded role showing that its output cannot be a principal basis.",0.95,2
eb272cf3a63cff81,YES,UNCLEAR,YES,YES,NO,UNCLEAR,none,RAVEn analytical products that result in investigative tips or leads are subject to further investigation by HSI special agents prior to any concrete law enforcement action.,"The passage concerns the relevant principal-basis issue, but it does not identify the Investigative Prioritization Aggregator or require an independent non-AI basis for action beyond further investigation and validation.",0.92,2
3c473e92c1657539,YES,UNCLEAR,YES,YES,NO,UNCLEAR,none,HSI agents and analysts receive training on the importance of verifying information from RAVEn before including it in any analytical report or using it as the basis for any formal law enforcement action,"The excerpt provides only general RAVEn verification language and does not anchor the translation-and-transcription tool to an independent non-AI basis, alternative path, or expressly non-principal operational role.",0.94,2
309fafd1b6d734e9,YES,YES,YES,NO,NO,NO,none,It will also include redaction technology for blurring individuals who are not the subject of an inquiry and for redacting any other personally identifiable information incidentally captured within the video,The passage identifies a redaction function but never connects that bounded role to why its output cannot principally influence an investigative or legal determination.,0.96,2
e2a993e6b7e054a2,YES,NO,NO,NO,NO,NO,none,This PIA update will: Discuss how the DHS Office of Biometric Identity Management (OBIM) uses the EID Arrest Graphical User Interface (EAGLE); Introduce the EAGLE DirecteD Identification Environment (EDDIE); and Introduce the Digital Application for Victim Witness Identification (DAVID).,"The 2019 document covers EAGLE, EDDIE, and DAVID rather than ELITE or its address-extraction and normalization outputs, and it provides no evidence applicable to the 2025 determination.",0.99,2
ea53ee6bd41fe4f2,YES,UNCLEAR,UNCLEAR,NO,NO,NO,none,Biometrics captured by the ICE ATD Case Managers used only for subsequent facial or voice verification required for monitoring and supervision-related check-in events,"The excerpt concerns ATD biometric check-ins but does not identify SmartLINK, establish 2025 applicability, or connect an alternative check-in path or bounded verification role to why facial-verification output is not a principal basis.",0.94,2
510312f3954f7395,YES,UNCLEAR,YES,NO,NO,NO,none,"For both the fingerprint and facial verification services, OBIM uses algorithms to compare the submitted biometric",The dated CPMS document mentions fingerprint algorithms but does not identify the BET fingerprint-quality check or explain why its output is not a principal basis.,0.93,2
7a4c9e7566bf1cd8,YES,NO,YES,NO,NO,NO,none,This Privacy Impact Assessment (PIA) update documents the implementation of the USCIS ELIS Photo Validation Tool.,The excerpt concerns an ELIS photo-quality service rather than the automated harvesting of aliases and dates of birth.,0.99,2
da81393d09196252,YES,YES,YES,YES,YES,YES,narrow,The USCIS ELIS Photo Validation Tool uses points of interest within and around the human face to validate that the photo meets the business requirements to produce the Employment Authorization Document (EAD); the Tool does not validate the applicant’s identity or any information about the applicant.,"The passage bounds the tool to card-production photo quality and expressly excludes identity or applicant-information validation, supporting why it is not a principal basis for adjudication.",0.98,2
c53594926d331714,YES,YES,UNCLEAR,YES,NO,NO,none,The identity profile presents a single data set of consistent information about an individual’s identity history as essential support for adjudicative efficiency.,"The 2022 PIA identifies PCIS and its adjudicative role but provides no non-AI basis, alternative path, or bounded role explicitly showing that its output is not a principal basis in the 2025 determination.",0.96,2
4eeb49ba51fe66d5,NO,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,none,,"No document excerpt was supplied, so the artifact cannot substantiate any qualifying mechanism or passage-level connection to the inventory determination.",0.99,2
f62cc54dc0dcdb83,NO,UNCLEAR,UNCLEAR,UNCLEAR,NO,NO,none,,"No document excerpt was supplied, so the artifact cannot substantiate any qualifying mechanism or passage-level connection to the inventory determination.",0.99,2
ccd7ccbee7fe5173,YES,YES,YES,YES,NO,YES,none,contractor proposals may be uploaded so the AI can draft an evaluation of vendor strengths and weaknesses for review by IRS employees during the source selection process.,"The passage ties AICDT to source-selection evaluations but provides only human review, without identifying a non-AI basis, alternative path, or bounded role explaining why AI output is not a principal basis.",0.98,2
