id,agency,template_id,review_flags,reconciled_status,gpt_5_4_status,gpt_5_4_mini_status,missing_roles,rationale,boundary
DHS-204,DHS,T-02296c740e62,unchanged-text status reversal,S,S,S,,"This use case provides a natural language contextual search and summarization capability against existing Reports of Investigation and other investigative data, producing more relevant search responses and investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations. The AI output (search queries and responses) provide investigators with easy-to-read search responses that are accompanied by links to source material for further analysis. Any data used to produce these investigative insights are first obtained through legal means and processes for the purposes of law enforcement investigations and do not significantly impact the categories listed in the definitions of “high-impacting AI.” Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for enforcement decisions. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence.",Review triage only; no expert labels or legal determinations
DHS-234,DHS,T-282ad145c93c,,S,S,S,,"Sensors and CUAS capabilities to support significant events. The AI combines sensor data from RF detections / radar/ and infrared / electro optical cameras. It combines all feeds and provides detections on the user interface back to users. Fully standalone and airgapped system. Looking to identify non-RF drones. System does not have any mitigation capability, system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation. This use of AI does not serve as a principal basis for decision or action.",Review triage only; no expert labels or legal determinations
DHS-2363,DHS,T-d39c21ea4512,,D,D,D,W,"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",Review triage only; no expert labels or legal determinations
DHS-2365,DHS,T-d39c21ea4512,,D,D,D,W,"Computer Vision is intended to detect anomalies in non-intrusive inspection images. The images are then shared with officers who review the detections within the images (represented as a polygon). If the officer feels physical review is required, the vehicle is moved to secondary inspection for more thorough review by an officer. The output of the AI does not serve as a principal basis for a decision or action.",Review triage only; no expert labels or legal determinations
DHS-2383,DHS,T-d0d326f5382a,,U,U,U,P|W,"This use case avoids collisions for small unmanned aircraft systems. It operates a video feed that activates the obstacle avoidance features. The obstacle avoidance capability assists the pilot on the ground to avoid colliding the unmanned aircraft with objects such as man-made structures, vehicles, trees, wires, or other objects in the projected flight path. The pilot receives a visual alert on the hand controller, indicating a possible collision and in some cases the aircraft will slow down, change direction to avoid the obstacle, or stop.",Review triage only; no expert labels or legal determinations
DHS-24,DHS,T-1d482d39ec2c,linked-document provenance review,U,U,U,O|W,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",Review triage only; no expert labels or legal determinations
DHS-2417,DHS,T-6e05e26a6734,panel/model status disagreement,S,S,U,,"This is an option for travelers, not a requirement. If a traveler chooses to use it and the service cannot match a traveler, the traveler may continue check-in/bag drop via another means. CBP does not make any decision or action based on a no-match.",Review triage only; no expert labels or legal determinations
DHS-2427,DHS,T-c60868e1c03a,archived duplicate-text conflict,S,S,S,,"This use case provides more efficient data processing for HSI personnel. The AI output may be used to produce investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations, but the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information. Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",Review triage only; no expert labels or legal determinations
DHS-2434,DHS,T-b99b7f9db3af,,S,S,S,,"The CVAS sub-system inside the VIEW system of record is not a high-impact use case because the Al's output from CVAS does not actually ""serve as a principal basis for"" the relevant type of agency action or decision. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions. The use case also does not perform workplace monitoring or surveillance.",Review triage only; no expert labels or legal determinations
DHS-2511,DHS,T-1a8b3a877c1f,,S,S,S,,"The AI-Assisted Audio/Video Redaction use case does not meet the definition of a High-Impact category under OMB M-25-21 due to its narrowly defined scope, reliance on human oversight, and non-decision-making role. This tool is designed to assist Homeland Security Investigations (HSI) by partially automating the redaction of audio and video evidence, such as detecting and obscuring faces, objects, or sensitive information (e.g., license plates, PII), to protect individuals’ identities during investigations and legal proceedings. Importantly, the tool does not perform 1:1 facial matching or identification, and its outputs are strictly limited to redactions, which are subject to comprehensive human review and editing before finalization. This ensures that the AI’s role is supportive rather than determinative, with no direct impact on investigative decisions or legal outcomes.",Review triage only; no expert labels or legal determinations
DHS-2517,DHS,T-3e19adf323a0,,S,S,S,,"This use case provides a more efficient way to process, review, summarize, translate, and analyze dark web data for use in HSI investigations. The AI output may be used to produce investigative insights, but the output itself is supporting information for HSI personnel to use for ease of review, for further analysis, and to produce leads. Insights derived from translated data allow investigators to identify the most relevant data that, if deemed critical for court proceedings, can be submitted to certified human translators for final review. Personnel may use investigative insights for law enforcement actions such as identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for any law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",Review triage only; no expert labels or legal determinations
DHS-2543,DHS,T-4f967bc47dbb,archived duplicate-text conflict|panel/model status disagreement|unchanged-text status reversal|zero-deficit unresolved composition,U,U,S,,This use case collates information provided by or authorized to be collected by an employee as part of network security process. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions.,Review triage only; no expert labels or legal determinations
DHS-2547,DHS,T-41cbe51c871e,panel/model status disagreement|unchanged-text status reversal|zero-deficit unresolved composition,U,S,S,,"Although the use case falls into a presumed high-impact category related to law enforcement investigations, it does not meet the high-impact definition as its outputs do not directly serve as a principal basis for enforcement actions or regulatory decisions. Instead, the AI-generated knowledge graph provides a foundation for further human-led investigation, requiring source validation through separate processes. This delineation ensures that the AI output remains a supportive rather than a determinative factor, disqualifying it from the high-impact AI system category.",Review triage only; no expert labels or legal determinations
DHS-2552,DHS,T-8c725571ab27,panel/model status disagreement,U,S,S,W,"This use case falls into a presumptive high-impact category under M-25-21 Section 6 (j) due to its role in supporting law enforcement activities, specifically application of digital forensic techniques. However, it does not meet the definition of high-impact AI as outlined in OMB Memorandum M-25-21 because its outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects on an individual or entity's civil rights, civil liberties, or privacy; or human health and safety. The AI capabilities, including classification, decoding, and origin analysis, are designed to assist analysts in prioritizing human review rather than independently determining outcomes. For example, AI-generated tags and app artifacts are suggestions that require manual validation and further investigation before enforcement actions are taken. All outputs are reviewed as part of a broader investigative process before any actions are taken.",Review triage only; no expert labels or legal determinations
DHS-2565,DHS,T-22212d16035b,,U,U,U,P|O|W,"This use case is not yet live in production, and the current ATT only covers for within the CCAIS platform. The use case needs further review, prior to the ATT for ICAD integration. The model can identify people, animals, and vehicles as well as extract license plate information, and we will need to determine how exactly the extracted information will be used for operations if it is determined to be feasible. The AI inventory team will need to review once the AI Use Case is fully defined.",Review triage only; no expert labels or legal determinations
DHS-2568,DHS,T-70e1806a4255,panel/model status disagreement,U,D,S,W,"The AI will analyze images from the sensors to determine what the item is in the image (e.g. Vessel). The image location will also be correlated with any publicly available AIS (Automated Identified System) data for maritime traffic. AIS is used as a filtering mechanism in most cases to filter out legitimate traffic. User is provided with information for detected objects lacking AIS signal. After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. This use of AI does not serve as the principal basis for decisions or actions.",Review triage only; no expert labels or legal determinations
DHS-2572,DHS,T-46c1e0453ae6,panel/model status disagreement,S,D,S,,"This system detects sounds that are associated with sounds of gunfire. Only events classified as High Confidence are then sent to users as a detection. Users then review the audio of the event to determine the accuracy of the detection and to review the location of the detection on an associated map. If the audio review is deemed relevant by agent and/or system users, agents may be sent to investigate further and the message is sent to field personnel of potential gunshot activity. It may be warning of activity south of the border where notifications made enhance safety of officers/agents in the region. Any further actions taken will be based on what the agents encounter when they arrive on scene. The AI associated with this system is not a principle basis for a decision or action.",Review triage only; no expert labels or legal determinations
DHS-2575,DHS,T-00202881d718,panel/model status disagreement,U,U,S,O,"Despite falling into a presumed category of high-impact AI, this use case does not meet the definition because the AI’s outputs serve primarily as inputs to an investigative process rather than making legally binding or material decisions itself. HSI investigators review, validate, and contextualize the AI-generated outputs before integrating them into any official case management system. Enforcement decisions and outcomes arise from a full investigative process that includes judicial review and other safeguards, thereby distancing the AI outputs from direct impact on civil liberties or privacy",Review triage only; no expert labels or legal determinations
DHS-2578,DHS,T-7e7a9b400b1b,panel/model status disagreement|linked-document provenance review|zero-deficit unresolved composition,U,S,S,,"While ELITE provides actionable data to ERO officers, its outputs are limited to normalized address data and do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effects on individuals. ERO officers review and validate the AI-driven outputs before determining actions, ensuring human oversight and additional verification steps. Furthermore, enforcement decisions are based on the full investigative process, which includes human analysis and validation of the source of AI outputs. As such, the AI system's role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions.",Review triage only; no expert labels or legal determinations
DHS-2595,DHS,T-9d5c322cd3a3,,S,S,S,,"This use case falls into a presumptive high-impact category due to its role in supporting law enforcement activities, specifically in identifying individuals who pose risks to community safety or violate U.S. immigration laws. However, it does not meet the definition of high-impact AI as outlined in OMB Memorandum M-25-21 because its outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects on an individual or entity's civil rights, civil liberties, or privacy; or human health and safety. The AI modules, including risk extraction, image analysis, language detection, and AI chat, are designed to augment traditional investigative processes by providing structured annotations and insights for analysts to review. These outputs are explicitly described as supporting tools that require human validation and integration with other government data holdings before any enforcement action is taken. Furthermore, the AI system operates as a supplementary tool, consolidating and organizing information to enhance efficiency, but does not independently produce outcomes that directly affect civil rights, civil liberties, or privacy. The safeguards in place, including human validation and adherence to established legal standards, ensure that the AI outputs remain supportive rather than determinative, confirming that this use case does not meet the high-impact definition.",Review triage only; no expert labels or legal determinations
DHS-2627,DHS,T-4ae31d537142,,S,S,S,,"No. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case increases efficiency of tasks associated with the accurate and timely identification, analysis, and review of biographical information needed for adjudication. The AI outputs are suggested aliases and DOBs related to the individual query, which USCIS staff must review to accept, reject, or ignore the suggested information. The AI outputs reduce the amount of adjudicative time spent manually harvesting aliases and DOBs. The use case increases efficiency of tasks associated with reviewing existing records for adjudicating requests for immigration benefits. Completing such adjudications are not dependent on the use case however lack of this tool would significantly increase human processing times and potentially reduce the accuracy of information consulted during the human review process.",Review triage only; no expert labels or legal determinations
DHS-2667,DHS,T-07c5553a903f,panel/model status disagreement,D,S,S,W,"This use case does not meet the definition of ""high-impact"" as outlined in Section 5 of M-25-21 because its outputs do not serve as a ""principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety."" Instead, the AI system generates intelligence reports and risk assessments that are used to support human decision-making. Analysts review the outputs and initiate follow-on actions after validating the source data, such as inspections or investigations, ensuring that the AI's outputs are not the sole or principal basis for these decisions. While the use case aligns with a presumed high-impact category due to its critical role in maritime safety and law enforcement, it does not meet the stricter definition of high-impact because its outputs are advisory and produce leads that must be validated as part of the investigative process prior to action being taken.",Review triage only; no expert labels or legal determinations
DHS-2729,DHS,T-e12f01074a7f,,S,S,S,,"The AI utilizes publicly available images and performs a comparative search against other open-source images to identify potential matches. Results produced by the AI can only be utilized for investigative leads and cannot be utilized as a determining factor for any enforcement action by CBP personnel. Therefore, in instances where the AI outputs assist in identifying leads, CBP personnel must then use internal CBP or USG data prior to making any law enforcement decisions or actions. The outputs of the AI do not serve as the principal basis for a high-impact decision or action.",Review triage only; no expert labels or legal determinations
DHS-310,DHS,T-ec1eec917acc,linked-document provenance review,U,U,U,W,"This is not a high impact case because this would only be used in for examinees taking the Customs Broker License Exam and not used in requests for federal services, processes, and benefits to include loans and access to public housing. This is just a feature that the CBP exam vendor uses to detect cheating during the exam.",Review triage only; no expert labels or legal determinations
DHS-317,DHS,T-f59a322b4b96,panel/model status disagreement|unchanged-text status reversal,S,S,D,,"The AI system processes data from radar, infrared sensors, and video surveillance to detect and track suspicious activities along U.S. borders. By incorporating AI-powered vessel registration, aircraft tail number, license plate, and object detection RAPTOR significantly boosts domain awareness. If the OCR can capture vessel or license plate information, that information is run through CBP Super Query and if derogatory information is returned or other information from the imagery (high number of gas cans in the image) the information is sent through SMS or email to the field for response to the potential activity. Agents log into RAPTOR and reviews for accuracy/validity of image to avoid any investigation of the wrong boat. Neither the AI or output of AI serves as a principal basis for a decision or action. Human review takes place prior to any final decision to act, and then personal interaction leads to any follow-up decisions.",Review triage only; no expert labels or legal determinations
DHS-35,DHS,T-7c48cabab497,,S,S,S,,"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI provides alerts when it detects the presence of an IoI (i.e., persons, vehicles, animals) in the image frame. With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person. After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place. The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.",Review triage only; no expert labels or legal determinations
DHS-37,DHS,T-a3d7df36b0ea,panel/model status disagreement|zero-deficit unresolved composition,U,S,S,,"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI runs on video and images captured from lawfully deployed technologies used to support the U.S. Border Patrol mission between Ports of Entry. The AI provides alerts when it detects the presence of an IoI, such as persons, vehicles, animals in the image frame. With regard to persons, this computer vision application is trained to determine if the object in the image frame is a person with a certain of level of confidence and not another object that may be shaped similarly to a person. After the alert of a detection, a trained agent or user, reviews the image to identify and classify the activity taking place. The AI merely alerts to the presence of an item it was trained to detect.",Review triage only; no expert labels or legal determinations
DHS-372,DHS,T-4f967bc47dbb,archived duplicate-text conflict|panel/model status disagreement|unchanged-text status reversal|zero-deficit unresolved composition,U,U,S,,This use case collates information provided by or authorized to be collected by an employee as part of network security process. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions.,Review triage only; no expert labels or legal determinations
DHS-38,DHS,T-35f898647486,panel/model status disagreement,U,D,D,W,The computer vision application scans a large grid within the viewshed of the high-definition camera. It then attempts to detect small vessels detecting entering and exiting small waterways in and around the area the camera is deployed. System is calibrated to detect to identify inbound and outbound traffic. When it detects a vessel it sends and image to the cloud for user review and determination if any follow-up action is required. The AI output does not serve as a principal basis for decisions or actions related to the definition of High-Impact AI.,Review triage only; no expert labels or legal determinations
DHS-401,DHS,T-7cb7bb801fa9,linked-document provenance review,U,U,U,P|W,"This use case uses facial recognition technology in Seized Property Vault Activity Automation (SPVAA) to create a log of access to a seized property vault. Photos of the CBP personnel accessing the vault are loaded into the application and logs the entrance request, the case number associated with the entrance request, and the individual’s access to the vault.",Review triage only; no expert labels or legal determinations
DHS-407,DHS,T-037d2edc22d0,,S,S,S,,"Facial verification is only one option for check-in. If the remote check-in fails, either because it was unable to verify the match between the user and their previously taken photo, or because of other potential issues (poor lighting, camera/phone malfunction, etc...), an officer will manually review the check-in photo against the previously taken photos. If that fails, the user can schedule an in-person check-in at their local ERO office. Therefore, the output of AI (facial verification for a remote check-in) is not the primary basis for a decision or action that would affect the individual's rights or safety. It is a convenience to help save time for both the user and officers.",Review triage only; no expert labels or legal determinations
DHS-417,DHS,T-ba14dc894672,,D,D,D,W,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. This use case detects anomalies or outliers, and also may be used to classify or categorize certain activity within data that has already been collected during an authorized cyber threat hunt operation within TSA’s networks. The AI outputs are reviewed by a human analyst team to determine if any of the patterns might be associated with unusual activity. The analyst would then continue to investigate further as during normal threat hunt operations.",Review triage only; no expert labels or legal determinations
DHS-48,DHS,T-c60868e1c03a,archived duplicate-text conflict,S,S,S,,"This use case provides more efficient data processing for HSI personnel. The AI output may be used to produce investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations, but the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information. Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",Review triage only; no expert labels or legal determinations
DHS-49,DHS,T-cfd1afe05c68,archived duplicate-text conflict,D,D,D,O|W,"The definition states that the ""output serves as a principal basis for a decision or action concerning a specific individual or entity..."" However, the output of the AI is never the only basis for a decision, and no rights impacting action is taken unless a human is in the loop making a further determatination",Review triage only; no expert labels or legal determinations
DHS-56,DHS,T-1605b4c2cfa3,,S,S,S,,"This use case verifies the ongoing accuracy of information compiled from within the Person-Centric Identity Services (PCIS). It identifies which records from within PCIS best match search criteria to support case processing. ------ The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The output of this can be visualized through a report or dashboard to assist with case review ensuring access to helpful and accurate records. Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination. The adjudication process can be conducted without this tool, however, doing so would significantly increase the time and effort required to process immigration requests.",Review triage only; no expert labels or legal determinations
DHS-57,DHS,T-4b55610f4130,,S,S,S,,"The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The AI output can be visualized through a report or dashboard to assist with case review ensuring access to useful and accurate records. (SEE DHS CAIO SUPER MEMO FY24) ------ The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The use case compiles records from across a variety of USCIS systems to provide a comprehensive history of a person’s interaction with USCIS. The output of this can be visualized through a report or dashboard to assist with case review ensuring access to helpful and accurate records. Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination. The adjudication process can be conducted without this tool, however, doing so would significantly increase the time and effort required to process immigration requests.",Review triage only; no expert labels or legal determinations
DHS-65,DHS,T-3e0e2944b563,,U,U,U,O|W,"The AI predicts aircraft landing locations. The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",Review triage only; no expert labels or legal determinations
DHS-81,DHS,T-61f1972a9861,panel/model status disagreement|linked-document provenance review|zero-deficit unresolved composition,U,S,D,,"The AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services. The AI output is an assessment of passport validity in response to an officer's request for passport validation. This result could be related to an inconsistency or abnormality in a passport's pattern. This is a tool available to CBP officers for confirming the validity of a passport. This result is used to notify the CBP officer that a passport may require review, as it may be part of a newly released sequence, may be invalid, or even possibly fraudulent. This is only one piece of information provided to CBP Officers during the normal course of their duties. The officers would use any results provided to research the validity of the passport through other sources.",Review triage only; no expert labels or legal determinations
DHS-86,DHS,T-61fb7c4ffc61,panel/model status disagreement,U,S,U,W,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. The use case identifies agricultural pest risk in cargo shipments entering the United States. If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection. The model does not track or identify individuals.",Review triage only; no expert labels or legal determinations
DHS-95,DHS,T-1b5a55fb5f11,panel/model status disagreement|linked-document provenance review,U,S,U,W,"The Trade Entity Risk model/tool enhances cargo predictive threat models by providing a comprehensive risk profile that aggregates historical trade entity transactions, trading partner relationships, reviews, examinations, and violations (within CBP data holdings) to create quantifiable risk measures for all trade entities. The AI model serves as an input to larger AI/ML cargo risk targeting models to better assess cargo threats and inform focus areas for trade targeting. Its outputs are not directly shared with users or operators and the output does not serve as a principal basis for decision or actions.",Review triage only; no expert labels or legal determinations
DOE-574,DOE,T-3e441efceab0,,U,U,U,P|O|W,The M365 Copilot and it's variants are integrated into all LANL collaboration and productivity services within M365 including email and Teams.,Review triage only; no expert labels or legal determinations
DOE-579,DOE,T-93d9abe92b75,,U,U,U,P|O|W,This deals with international safeguars approaches.,Review triage only; no expert labels or legal determinations
DOE-588,DOE,T-73364a2de99d,,U,U,U,P|O|W,In development stage and impact has not been determined,Review triage only; no expert labels or legal determinations
DOE-629,DOE,T-73364a2de99d,,U,U,U,P|O|W,In development stage and impact has not been determined,Review triage only; no expert labels or legal determinations
