lens,lens_name,id,P,O,W_ind,W_opt,W_nar,H,status,excerpts,ambiguity,confidence,reported_status,formula_corrected
1,literal entailment,DHS-234,YES,YES,NO,NO,YES,NO,S,"{'P': 'does not serve as a principal basis for decision or action', 'O': 'provides detections on the user interface back to users', 'W': 'system cannot autonomously mitigate an aircraft, it only detects and provides a digital track on the GUI/map for further user investigation', 'H': ''}",,0.98,S,0
1,literal entailment,DHS-2363,YES,YES,NO,NO,NO,YES,D,"{'P': 'does not serve as a principal basis for a decision or action', 'O': 'detections within the images (represented as a polygon)', 'W': '', 'H': 'If the officer feels physical review is required, the vehicle is moved to secondary inspection'}",Reviewing the AI detections is not expressly distinguished from human review of the AI output and therefore does not establish independent evidence.,0.95,D,0
1,literal entailment,DHS-2365,YES,YES,NO,NO,NO,YES,D,"{'P': 'does not serve as a principal basis for a decision or action', 'O': 'detections within the images (represented as a polygon)', 'W': '', 'H': 'If the officer feels physical review is required, the vehicle is moved to secondary inspection'}",Reviewing the AI detections is not expressly distinguished from human review of the AI output and therefore does not establish independent evidence.,0.95,D,0
1,literal entailment,DHS-2383,NO,YES,NO,NO,NO,NO,U,"{'P': '', 'O': 'The pilot receives a visual alert on the hand controller, indicating a possible collision', 'W': '', 'H': ''}","The rationale describes operation, including autonomous aircraft responses, but does not deny a high-impact predicate or state a limiting mechanism.",0.98,U,0
1,literal entailment,DHS-24,YES,NO,NO,NO,NO,NO,U,"{'P': 'do not serve as a principal basis for a decision or action', 'O': '', 'W': '', 'H': ''}",The rationale never identifies what the AI supplies or how it enters a workflow.,0.99,U,0
1,literal entailment,DHS-2417,YES,YES,NO,YES,NO,NO,S,"{'P': 'CBP does not make any decision or action based on a no-match.', 'O': 'the service cannot match a traveler', 'W': 'the traveler may continue check-in/bag drop via another means', 'H': ''}",,0.99,S,0
1,literal entailment,DHS-2427,YES,YES,YES,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for law enforcement action or decision', 'O': 'investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations', 'W': 'the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.97,S,0
1,literal entailment,DHS-2434,YES,YES,NO,NO,YES,NO,S,"{'P': 'does not actually ""serve as a principal basis for"" the relevant type of agency action or decision', 'O': 'The collated information supports decisions about staffing priorities', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",,0.97,S,0
1,literal entailment,DHS-2511,YES,YES,NO,NO,YES,YES,S,"{'P': 'no direct impact on investigative decisions or legal outcomes', 'O': 'detecting and obscuring faces, objects, or sensitive information', 'W': 'its outputs are strictly limited to redactions', 'H': 'subject to comprehensive human review and editing before finalization'}",,0.99,S,0
1,literal entailment,DHS-2517,YES,YES,YES,NO,NO,YES,S,"{'P': 'do not serve as a principal basis for any law enforcement action or decision', 'O': 'investigative insights', 'W': 'Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence', 'H': 'all insights are reviewed and validated by both personnel and supervisors'}",,0.98,S,0
1,literal entailment,DHS-2543,YES,YES,NO,NO,YES,NO,S,"{'P': 'not used to make security-related or employment-related decisions', 'O': 'collates information provided by or authorized to be collected by an employee', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",,0.97,S,0
1,literal entailment,DHS-2547,YES,YES,UNCLEAR,NO,NO,YES,D,"{'P': 'outputs do not directly serve as a principal basis for enforcement actions or regulatory decisions', 'O': 'the AI-generated knowledge graph provides a foundation for further human-led investigation', 'W': 'requiring source validation through separate processes', 'H': 'provides a foundation for further human-led investigation'}",“Source validation through separate processes” does not identify the separate procedure or source sufficiently to establish an independent-basis mechanism.,0.93,D,0
1,literal entailment,DHS-2552,YES,YES,NO,NO,YES,YES,S,"{'P': 'outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects', 'O': 'AI-generated tags and app artifacts are suggestions', 'W': 'designed to assist analysts in prioritizing human review rather than independently determining outcomes', 'H': 'All outputs are reviewed as part of a broader investigative process before any actions are taken.'}","Manual validation and further investigation are generic, but the bounded role of tags and artifacts in prioritizing review is expressly contrasted with determining outcomes.",0.86,S,0
1,literal entailment,DHS-2565,NO,UNCLEAR,NO,NO,NO,NO,U,"{'P': '', 'O': 'we will need to determine how exactly the extracted information will be used for operations', 'W': '', 'H': ''}","The model outputs are identified, but their workflow use remains expressly undetermined.",0.98,U,0
1,literal entailment,DHS-2568,YES,YES,YES,NO,NO,YES,S,"{'P': 'does not serve as the principal basis for decisions or actions', 'O': 'User is provided with information for detected objects lacking AIS signal.', 'W': 'AIS is used as a filtering mechanism in most cases to filter out legitimate traffic.', 'H': 'a trained CBP agent or user, reviews the image to identify and classify the activity taking place'}","AIS supplies a stated non-AI filtering basis, while an agent independently examines the source image after an alert.",0.82,S,0
1,literal entailment,DHS-2572,YES,YES,YES,NO,NO,YES,S,"{'P': 'not a principle basis for a decision or action', 'O': 'Only events classified as High Confidence are then sent to users as a detection.', 'W': 'Any further actions taken will be based on what the agents encounter when they arrive on scene.', 'H': 'Users then review the audio of the event to determine the accuracy of the detection'}",,0.97,S,0
1,literal entailment,DHS-2575,YES,UNCLEAR,YES,NO,NO,YES,U,"{'P': 'rather than making legally binding or material decisions itself', 'O': 'the AI’s outputs serve primarily as inputs to an investigative process', 'W': 'Enforcement decisions and outcomes arise from a full investigative process that includes judicial review', 'H': 'HSI investigators review, validate, and contextualize the AI-generated outputs'}",The rationale never identifies what information or product the AI output contains.,0.91,U,0
1,literal entailment,DHS-2578,YES,YES,NO,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effects', 'O': 'its outputs are limited to normalized address data', 'W': ""the AI system's role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions"", 'H': 'ERO officers review and validate the AI-driven outputs before determining actions'}","The investigative-process language is generic, but the output is expressly and consequentially bounded to extraction and normalization.",0.93,S,0
1,literal entailment,DHS-2595,YES,YES,YES,NO,NO,YES,S,"{'P': 'outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects', 'O': 'providing structured annotations and insights for analysts to review', 'W': 'integration with other government data holdings before any enforcement action is taken', 'H': 'The safeguards in place, including human validation', 'ambiguity': ''}",,0.96,S,0
1,literal entailment,DHS-2627,YES,YES,NO,YES,NO,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'The AI outputs are suggested aliases and DOBs related to the individual query', 'W': 'Completing such adjudications are not dependent on the use case', 'H': 'USCIS staff must review to accept, reject, or ignore the suggested information'}",,0.98,S,0
1,literal entailment,DHS-2667,YES,YES,NO,NO,NO,YES,D,"{'P': 'outputs do not serve as a ""principal basis for decisions or actions that have a legal, material, binding, or significant effect on rights or safety.""', 'O': 'generates intelligence reports and risk assessments that are used to support human decision-making', 'W': '', 'H': 'Analysts review the outputs and initiate follow-on actions after validating the source data'}",Neither the source data nor the investigative validation procedure is identified with enough specificity to establish an independent basis.,0.84,D,0
1,literal entailment,DHS-2729,YES,YES,YES,NO,YES,NO,S,"{'P': 'do not serve as the principal basis for a high-impact decision or action', 'O': 'identify potential matches', 'W': 'CBP personnel must then use internal CBP or USG data prior to making any law enforcement decisions or actions.', 'H': ''}",The required government data is an independent basis; the output is also expressly restricted to leads and barred as a determining factor.,0.98,S,0
1,literal entailment,DHS-310,YES,YES,NO,NO,NO,NO,U,"{'P': 'not used in requests for federal services, processes, and benefits', 'O': 'a feature that the CBP exam vendor uses to detect cheating during the exam', 'W': '', 'H': ''}",The rationale names a denied consequential-use category but provides no mechanism limiting reliance on a cheating detection.,0.88,U,0
1,literal entailment,DHS-317,YES,YES,YES,NO,NO,YES,S,"{'P': 'Neither the AI or output of AI serves as a principal basis for a decision or action.', 'O': 'processes data from radar, infrared sensors, and video surveillance to detect and track suspicious activities', 'W': 'then personal interaction leads to any follow-up decisions', 'H': 'Human review takes place prior to any final decision to act'}",,0.96,S,0
1,literal entailment,DHS-35,YES,YES,NO,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'provides alerts when it detects the presence of an IoI', 'W': 'The AI merely alerts to the presence of an item it was trained to detect. This is not a biometric system and does not identify or track specific individuals.', 'H': 'a trained agent or user, reviews the image to identify and classify the activity taking place'}",The narrow-mechanism finding rests on the express limitation to presence alerts and the express exclusion of identification and tracking.,0.9,S,0
1,literal entailment,DHS-37,YES,YES,NO,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'provides alerts when it detects the presence of an IoI', 'W': 'The AI merely alerts to the presence of an item it was trained to detect.', 'H': 'a trained agent or user, reviews the image to identify and classify the activity taking place'}",The rationale procedurally separates the bounded presence alert from the agent's identification and classification of activity.,0.84,S,0
1,literal entailment,DHS-372,YES,YES,NO,NO,YES,NO,S,"{'P': 'is not used to make security-related or employment-related decisions', 'O': 'The collated information supports decisions about staffing priorities', 'W': 'supports decisions about staffing priorities but is not used to make security-related or employment-related decisions', 'H': ''}",The disclosed use is expressly bounded to staffing priorities and excluded from the named consequential decision categories.,0.94,S,0
1,literal entailment,DHS-38,YES,YES,NO,NO,NO,YES,D,"{'P': 'does not serve as a principal basis for decisions or actions related to the definition of High-Impact AI', 'O': 'When it detects a vessel it sends and image to the cloud', 'W': '', 'H': 'for user review and determination if any follow-up action is required'}","The source image is reviewed, but the rationale supplies no independent evidence or limiting mechanism beyond human determination.",0.91,D,0
1,literal entailment,DHS-401,NO,YES,NO,NO,NO,NO,U,"{'P': '', 'O': 'uses facial recognition technology in Seized Property Vault Activity Automation (SPVAA) to create a log of access', 'W': '', 'H': ''}",The rationale describes the function but contains no rebuttal predicate or limiting mechanism.,0.99,U,0
1,literal entailment,DHS-407,YES,YES,YES,YES,NO,YES,S,"{'P': ""not the primary basis for a decision or action that would affect the individual's rights or safety"", 'O': 'facial verification for a remote check-in', 'W': 'If that fails, the user can schedule an in-person check-in at their local ERO office.', 'H': 'an officer will manually review the check-in photo against the previously taken photos'}","Manual comparison supplies an independent non-AI check, and an expressly available in-person path avoids dependence on facial verification.",0.97,S,0
1,literal entailment,DHS-417,YES,YES,NO,NO,NO,YES,D,"{'P': 'do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources', 'O': 'detects anomalies or outliers, and also may be used to classify or categorize certain activity', 'W': '', 'H': 'The AI outputs are reviewed by a human analyst team to determine if any of the patterns might be associated with unusual activity.'}","Further investigation is mentioned generically without an identifiable independent source, procedure, or constraining relation.",0.93,D,0
1,literal entailment,DHS-48,YES,YES,YES,NO,NO,YES,S,"{'P': 'do not serve as a principal basis for law enforcement action or decision', 'O': 'investigative insights in the form of data, information leads or connections', 'W': 'verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge', 'H': 'all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system'}",,0.98,S,0
1,literal entailment,DHS-49,YES,UNCLEAR,NO,NO,NO,YES,D,"{'P': 'The definition states that the ""output serves as a principal basis for a decision or action concerning a specific individual or entity...""', 'O': '', 'W': '', 'H': 'no rights impacting action is taken unless a human is in the loop making a further determatination'}",The rationale never identifies what the AI output supplies; saying it is not the only basis does not identify an independent basis.,0.97,D,0
1,literal entailment,DHS-56,YES,YES,NO,YES,NO,YES,S,"{'P': 'do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect', 'O': 'identifies which records from within PCIS best match search criteria to support case processing', 'W': 'The adjudication process can be conducted without this tool', 'H': 'Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination.'}","The unspecified other information is not credited as an independent basis, but the rationale expressly states that adjudication remains available without the tool.",0.98,S,0
1,literal entailment,DHS-57,YES,YES,NO,YES,NO,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'visualized through a report or dashboard to assist with case review', 'W': 'The adjudication process can be conducted without this tool', 'H': 'Adjudicators review the outputs of this use case, alongside other information and insights, to process a case and make a final determination.'}",“Other information and insights” is too generic for W-ind; the expressly available tool-free adjudication path establishes W-opt.,0.97,S,0
1,literal entailment,DHS-65,YES,UNCLEAR,NO,NO,NO,NO,U,"{'P': 'do not produce an action or serve as a principal basis for a decision', 'O': 'The AI predicts aircraft landing locations.', 'W': '', 'H': ''}","The output is identified, but the rationale does not state how the prediction enters a workflow or provide a limiting mechanism.",0.98,U,0
1,literal entailment,DHS-81,YES,YES,NO,NO,YES,YES,S,"{'P': 'do not serve as a principal basis for a decision or action', 'O': 'used to notify the CBP officer that a passport may require review', 'W': 'used to notify the CBP officer that a passport may require review', 'H': 'The officers would use any results provided to research the validity of the passport'}","“Other sources” is too generic for W-ind, but the output is bounded to a notification prompting further passport review rather than a validity determination.",0.88,S,0
1,literal entailment,DHS-86,YES,YES,NO,NO,NO,NO,U,"{'P': 'serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being', 'O': 'If a cargo shipment is identified as high-risk for pest infestation, it is prioritized for inspection.', 'W': '', 'H': ''}",The rationale identifies a risk classification and its workflow use but no mechanism preventing that output from principally determining inspection priority.,0.98,U,0
1,literal entailment,DHS-95,YES,YES,NO,NO,UNCLEAR,NO,U,"{'P': 'the output does not serve as a principal basis for decision or actions', 'O': 'serves as an input to larger AI/ML cargo risk targeting models', 'W': 'Its outputs are not directly shared with users or operators', 'H': ''}",Being an upstream input not directly shown to operators does not entail that it cannot principally drive the downstream targeting model.,0.93,U,0
1,literal entailment,DOE-574,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Integration into M365 services identifies neither an AI output nor its workflow use, threshold predicate, or limiting mechanism.",0.99,U,0
1,literal entailment,DOE-579,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}",The rationale supplies only a topic description and no codable rebuttal components.,0.99,U,0
1,literal entailment,DOE-588,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Undetermined impact during development is a temporal statement, not a denied policy predicate or qualifying mechanism.",0.99,U,0
1,literal entailment,DOE-629,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Undetermined impact during development is a temporal statement, not a denied policy predicate or qualifying mechanism.",0.99,U,0
1,literal entailment,DOE-713,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}","Undetermined impact during development is a temporal statement, not a denied policy predicate or qualifying mechanism.",0.99,U,0
1,literal entailment,DOJ-0009,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0014,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0019,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0021,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0022,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0029,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0030,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0031,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0032,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0033,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0040,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism; pre-deployment status does not supply W.",0.99,U,0
1,literal entailment,DOJ-0041,YES,NO,NO,NO,NO,NO,U,"{'P': 'serves as a principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names only a generic output and conclusion, without identifying what the AI supplies, its workflow use, or a limiting mechanism; pre-deployment status does not supply W.",0.99,U,0
1,literal entailment,DOJ-0042,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0043,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0044,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0072,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0073,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0102,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0153,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0220,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0221,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0235,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0239,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0265,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0271,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0315,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0326,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0332,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0357-R01,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0357-R02,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0362,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,DOJ-0363,YES,NO,NO,NO,NO,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': '', 'W': '', 'H': ''}","The rationale names the denied predicate but does not identify the output, workflow, or a limiting mechanism.",0.99,U,0
1,literal entailment,46,NO,NO,NO,NO,NO,NO,U,"{'P': '', 'O': '', 'W': '', 'H': ''}",No rationale was disclosed.,1.0,U,0
1,literal entailment,MISSING-6FB970D7652E,YES,YES,NO,NO,UNCLEAR,NO,U,"{'P': 'principal basis for decisions or actions with legal, material, binding, or significant effect', 'O': 'extracting key data points from scanned notices', 'W': 'narrowly focused on extracting key data points from scanned notices', 'H': ''}","The output is bounded, but the rationale does not explain how that bound prevents principal-basis use; it only asserts the conclusion.",0.96,U,0
