id,inventory_id,agency,use_case_name,development_stage,topic_area,rationale,consensus_P,consensus_O,consensus_W_ind,consensus_W_opt,consensus_W_nar,consensus_H,consensus_status,status_votes,status_agreement_n,unanimous,mean_confidence,formula_corrections,representative_excerpts,argument_status,legacy_status,legacy_matches_consensus
DHS-2383,DHS-2383,DHS,Unmanned Aircraft Collision Avoidance,Deployed,Law Enforcement,"This use case avoids collisions for small unmanned aircraft systems. It operates a video feed that activates the obstacle avoidance features. The obstacle avoidance capability assists the pilot on the ground to avoid colliding the unmanned aircraft with objects such as man-made structures, vehicles, trees, wires, or other objects in the projected flight path. The pilot receives a visual alert on the hand controller, indicating a possible collision and in some cases the aircraft will slow down, change direction to avoid the obstacle, or stop.",NO,YES,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.9800000000000001,0,"The pilot receives a visual alert on the hand controller, indicating a possible collision || The pilot receives a visual alert || visual alert on the hand controller",U: publicly unresolved,U,True
DHS-24,DHS-24,DHS,Entity Resolution,Deployed,Law Enforcement,"The AI outputs do not produce an action or serve as a principal basis for a decision that has the potential to significantly impact the safety of human-life or well-being, climate or environment, critical infrastructure, or strategic assets or resources. AI outputs do not serve as a principal basis for a decision or action concerning a specific individual or entity that has a legal, material, binding, or similarly significant effect on that individual’s or entity’s civil rights, civil liberties or privacy, equal opportunities, or access to or the ability to apply for critical government resources or services.",YES,NO,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.986,0,do not serve as a principal basis for a decision or action || do not produce an action or serve as a principal basis for a decision || do not produce an action or serve as a principal basis,U: publicly unresolved,U,True
DHS-2417,DHS-2417,DHS,Process Efficiency Traveler Identity for Airline Check-in and Bag Drop,Deployed,Law Enforcement,"This is an option for travelers, not a requirement. If a traveler chooses to use it and the service cannot match a traveler, the traveler may continue check-in/bag drop via another means. CBP does not make any decision or action based on a no-match.",YES,YES,NO,YES,NO,NO,S,"{""S"": 5}",5,1,0.984,0,CBP does not make any decision or action based on a no-match. || the service cannot match a traveler || the traveler may continue check-in/bag drop via another means || does not make any decision or action based on a no-match || the traveler may continue check-in/bag drop via another means. CBP does not make any decision or action based on a no-match. || service cannot match a traveler || traveler may continue check-in/bag drop via another means,U: publicly unresolved,U,False
DHS-2427,DHS-2427,DHS,Translation and Transcription for Investigative Data,Deployed,Law Enforcement,"This use case provides more efficient data processing for HSI personnel. The AI output may be used to produce investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations, but the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information. Personnel may use these insights for law enforcement purposes in ongoing investigations with existing targets to assist in activities such as producing risk assessments about individuals or identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",YES,YES,YES,NO,YES,YES,S,"{""S"": 5}",5,1,0.976,0,"do not serve as a principal basis for law enforcement action or decision || investigative insights in the form of data, information leads or connections that HSI personnel can use to inform investigations || the output itself is data preparation and organization so HSI personnel can produce those leads when combining the AI output with the personnel’s expertise and other relevant investigative data and information || all insights are reviewed and validated by both personnel and supervisors || Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence || data, information leads or connections || full Federal Investigation Process involving verifying any insights as evidence || outcomes of the full Federal Investigation Process involving verifying any insights as evidence || reviewed and validated by both personnel and supervisors",S: minimally supported rebuttal,S,True
DHS-2434,DHS-2434,DHS,User and Entity Behavior Analytics (UEBA),Deployed,Admin Functions,"The CVAS sub-system inside the VIEW system of record is not a high-impact use case because the Al's output from CVAS does not actually ""serve as a principal basis for"" the relevant type of agency action or decision. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions. The use case also does not perform workplace monitoring or surveillance.",YES,YES,NO,NO,YES,NO,S,"{""S"": 5}",5,1,0.9359999999999999,0,"does not actually ""serve as a principal basis for"" the relevant type of agency action or decision || The collated information supports decisions about staffing priorities || supports decisions about staffing priorities but is not used to make security-related or employment-related decisions || does not actually serve as a principal basis || is not used to make security-related or employment-related decisions || The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions. || collated information supports decisions about staffing priorities || not used to make security-related or employment-related decisions",U: publicly unresolved,U,False
DHS-2511,DHS-2511,DHS,AI-Assisted Audio/Video Redaction,Deployed,Law Enforcement,"The AI-Assisted Audio/Video Redaction use case does not meet the definition of a High-Impact category under OMB M-25-21 due to its narrowly defined scope, reliance on human oversight, and non-decision-making role. This tool is designed to assist Homeland Security Investigations (HSI) by partially automating the redaction of audio and video evidence, such as detecting and obscuring faces, objects, or sensitive information (e.g., license plates, PII), to protect individuals’ identities during investigations and legal proceedings. Importantly, the tool does not perform 1:1 facial matching or identification, and its outputs are strictly limited to redactions, which are subject to comprehensive human review and editing before finalization. This ensures that the AI’s role is supportive rather than determinative, with no direct impact on investigative decisions or legal outcomes.",YES,YES,NO,NO,YES,YES,S,"{""S"": 5}",5,1,0.9799999999999999,0,"no direct impact on investigative decisions or legal outcomes || detecting and obscuring faces, objects, or sensitive information || its outputs are strictly limited to redactions || subject to comprehensive human review and editing before finalization || outputs are strictly limited to redactions || subject to comprehensive human review and editing || with no direct impact on investigative decisions or legal outcomes || the tool does not perform 1:1 facial matching or identification, and its outputs are strictly limited to redactions || comprehensive human review and editing",U: publicly unresolved,U,False
DHS-2517,DHS-2517,DHS,Dark Web Threat Intelligence for Cyber Investigations,Deployed,Law Enforcement,"This use case provides a more efficient way to process, review, summarize, translate, and analyze dark web data for use in HSI investigations. The AI output may be used to produce investigative insights, but the output itself is supporting information for HSI personnel to use for ease of review, for further analysis, and to produce leads. Insights derived from translated data allow investigators to identify the most relevant data that, if deemed critical for court proceedings, can be submitted to certified human translators for final review. Personnel may use investigative insights for law enforcement actions such as identifying criminal suspects; however, all insights are reviewed and validated by both personnel and supervisors before being included in any official case management system, and do not serve as a principal basis for any law enforcement action or decision. Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence (including validating AI-translated material by a certified interpreter), presentation to a U.S. Attorney’s Office and potentially a District Court judge, decision to prosecute, judicial review, and trial and sentencing.",YES,YES,YES,NO,NO,YES,S,"{""S"": 5}",5,1,0.9780000000000001,0,do not serve as a principal basis for any law enforcement action or decision || investigative insights || Any enforcement decisions related to these insights are outcomes of the full Federal Investigation Process involving verifying any insights as evidence || all insights are reviewed and validated by both personnel and supervisors || supporting information for HSI personnel || full Federal Investigation Process involving verifying any insights as evidence || submitted to certified human translators for final review || reviewed and validated by both personnel and supervisors,S: minimally supported rebuttal,S,True
DHS-2543,DHS-2543,DHS,AI Security and Monitoring,Deployed,Cybersecurity,This use case collates information provided by or authorized to be collected by an employee as part of network security process. The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions.,YES,YES,NO,NO,YES,NO,S,"{""S"": 5}",5,1,0.9339999999999999,0,not used to make security-related or employment-related decisions || collates information provided by or authorized to be collected by an employee || supports decisions about staffing priorities but is not used to make security-related or employment-related decisions || The collated information supports decisions about staffing priorities || The collated information supports decisions about staffing priorities but is not used to make security-related or employment-related decisions. || collates information || supports decisions about staffing priorities,U: publicly unresolved,U,False
DHS-2547,DHS-2547,DHS,Entity Resolution for Global Trade Data,Deployed,Law Enforcement,"Although the use case falls into a presumed high-impact category related to law enforcement investigations, it does not meet the high-impact definition as its outputs do not directly serve as a principal basis for enforcement actions or regulatory decisions. Instead, the AI-generated knowledge graph provides a foundation for further human-led investigation, requiring source validation through separate processes. This delineation ensures that the AI output remains a supportive rather than a determinative factor, disqualifying it from the high-impact AI system category.",YES,YES,YES,NO,NO,YES,U,"{""D"": 2, ""S"": 3}",3,0,0.9659999999999999,0,outputs do not directly serve as a principal basis for enforcement actions or regulatory decisions || the AI-generated knowledge graph provides a foundation for further human-led investigation || requiring source validation through separate processes || provides a foundation for further human-led investigation || do not directly serve as a principal basis for enforcement actions or regulatory decisions || AI-generated knowledge graph || further human-led investigation,S: minimally supported rebuttal,S,False
DHS-2552,DHS-2552,DHS,Mobile Device Forensics for Investigations,Pre-deployment,Law Enforcement,"This use case falls into a presumptive high-impact category under M-25-21 Section 6 (j) due to its role in supporting law enforcement activities, specifically application of digital forensic techniques. However, it does not meet the definition of high-impact AI as outlined in OMB Memorandum M-25-21 because its outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects on an individual or entity's civil rights, civil liberties, or privacy; or human health and safety. The AI capabilities, including classification, decoding, and origin analysis, are designed to assist analysts in prioritizing human review rather than independently determining outcomes. For example, AI-generated tags and app artifacts are suggestions that require manual validation and further investigation before enforcement actions are taken. All outputs are reviewed as part of a broader investigative process before any actions are taken.",YES,YES,UNCLEAR,NO,UNCLEAR,YES,U,"{""D"": 3, ""S"": 2}",3,0,0.916,0,"outputs do not serve as a ""principal basis"" for decisions or actions with legal, material, binding, or significant effects || AI-generated tags and app artifacts are suggestions || designed to assist analysts in prioritizing human review rather than independently determining outcomes || All outputs are reviewed as part of a broader investigative process before any actions are taken. || require manual validation and further investigation before enforcement actions are taken || outputs do not serve as a ""principal basis"" || classification, decoding, and origin analysis || manual validation and further investigation || require manual validation || designed to assist analysts in prioritizing human review",S: minimally supported rebuttal,S,False
DHS-2565,DHS-2565,DHS,CBP Common AI Service(CCAIS) Image Analysis and Data Correlation,Pre-deployment,Law Enforcement,"This use case is not yet live in production, and the current ATT only covers for within the CCAIS platform. The use case needs further review, prior to the ATT for ICAD integration. The model can identify people, animals, and vehicles as well as extract license plate information, and we will need to determine how exactly the extracted information will be used for operations if it is determined to be feasible. The AI inventory team will need to review once the AI Use Case is fully defined.",NO,UNCLEAR,NO,NO,NO,NO,U,"{""U"": 5}",5,1,0.984,0,"we will need to determine how exactly the extracted information will be used for operations || identify people, animals, and vehicles as well as extract license plate information || identify people, animals, and vehicles",U: publicly unresolved,U,True
DHS-2568,DHS-2568,DHS,Non-intrusive vessel and object detection tool (Tethered Aerostat Radar System (TARS)),Pre-deployment,Law Enforcement,"The AI will analyze images from the sensors to determine what the item is in the image (e.g. Vessel). The image location will also be correlated with any publicly available AIS (Automated Identified System) data for maritime traffic. AIS is used as a filtering mechanism in most cases to filter out legitimate traffic. User is provided with information for detected objects lacking AIS signal. After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. This use of AI does not serve as the principal basis for decisions or actions.",YES,YES,UNCLEAR,NO,NO,YES,U,"{""D"": 2, ""S"": 3}",3,0,0.844,0,"does not serve as the principal basis for decisions or actions || User is provided with information for detected objects lacking AIS signal. || AIS is used as a filtering mechanism in most cases to filter out legitimate traffic. || a trained CBP agent or user, reviews the image to identify and classify the activity taking place || After the alert of a detection, a trained CBP agent or user, reviews the image to identify and classify the activity taking place. || a trained CBP agent or user, reviews the image || does not serve as the principal basis || provided with information for detected objects lacking AIS signal || AIS is used as a filtering mechanism || reviews the image || analyze images from the sensors || agent or user, reviews the image",U: publicly unresolved,U,True
DHS-2572,DHS-2572,DHS,Acoustic Signature AI for Gunshot Detection,Pilot,Law Enforcement,"This system detects sounds that are associated with sounds of gunfire. Only events classified as High Confidence are then sent to users as a detection. Users then review the audio of the event to determine the accuracy of the detection and to review the location of the detection on an associated map. If the audio review is deemed relevant by agent and/or system users, agents may be sent to investigate further and the message is sent to field personnel of potential gunshot activity. It may be warning of activity south of the border where notifications made enhance safety of officers/agents in the region. Any further actions taken will be based on what the agents encounter when they arrive on scene. The AI associated with this system is not a principle basis for a decision or action.",YES,YES,YES,NO,NO,YES,S,"{""S"": 5}",5,1,0.97,0,not a principle basis for a decision or action || Only events classified as High Confidence are then sent to users as a detection. || Any further actions taken will be based on what the agents encounter when they arrive on scene. || Users then review the audio of the event to determine the accuracy of the detection || detects sounds that are associated with sounds of gunfire || actions taken will be based on what the agents encounter || Users then review the audio || detects sounds...of gunfire || based on what the agents encounter when they arrive on scene,U: publicly unresolved,U,False
DHS-2575,DHS-2575,DHS,Blockchain Analysis,Deployed,Law Enforcement,"Despite falling into a presumed category of high-impact AI, this use case does not meet the definition because the AI’s outputs serve primarily as inputs to an investigative process rather than making legally binding or material decisions itself. HSI investigators review, validate, and contextualize the AI-generated outputs before integrating them into any official case management system. Enforcement decisions and outcomes arise from a full investigative process that includes judicial review and other safeguards, thereby distancing the AI outputs from direct impact on civil liberties or privacy",YES,UNCLEAR,YES,NO,NO,YES,U,"{""S"": 2, ""U"": 3}",3,0,0.898,0,"rather than making legally binding or material decisions itself || the AI’s outputs serve primarily as inputs to an investigative process || Enforcement decisions and outcomes arise from a full investigative process that includes judicial review || HSI investigators review, validate, and contextualize the AI-generated outputs || AI’s outputs serve primarily as inputs to an investigative process || Enforcement decisions and outcomes arise from a full investigative process that includes judicial review and other safeguards || includes judicial review and other safeguards || investigators review, validate, and contextualize || outputs serve primarily as inputs to an investigative process || AI-generated outputs || full investigative process that includes judicial review",S: minimally supported rebuttal,S,False
DHS-2578,DHS-2578,DHS,Enhanced Lead Identification and Targeting,Deployed,Law Enforcement,"While ELITE provides actionable data to ERO officers, its outputs are limited to normalized address data and do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effects on individuals. ERO officers review and validate the AI-driven outputs before determining actions, ensuring human oversight and additional verification steps. Furthermore, enforcement decisions are based on the full investigative process, which includes human analysis and validation of the source of AI outputs. As such, the AI system's role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions.",YES,YES,UNCLEAR,NO,YES,YES,U,"{""D"": 2, ""S"": 3}",3,0,0.9359999999999999,0,"do not serve as a principal basis for decisions or actions with legal, material, binding, or significant effects || its outputs are limited to normalized address data || the AI system's role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions || ERO officers review and validate the AI-driven outputs before determining actions || outputs are limited to normalized address data || role is limited to data extraction and normalization, rather than serving as a primary basis for enforcement actions || do not serve as a principal basis || limited to normalized address data || additional verification steps || ERO officers review and validate || normalized address data || review and validate the AI-driven outputs",S: minimally supported rebuttal,S,False
