model,id,dataset,valid,status,comparator_status,agreement,ambiguity,P,O,W_ind,W_opt,W_nar,H
gpt-5.4-2026-03-05,T-7c48cabab497,inventory,True,S,S,1,"Human review of the image could suggest an independent-basis mechanism, but the rationale does not clearly state that any consequential action does not principally depend on the AI output; S rests on the narrow alert-only/non-identification mechanism.",YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,T-a3d7df36b0ea,inventory,True,S,U,0,Human review of the image could be read either as an independent non-AI basis or as oversight only; status S rests on the narrower bounded-output explanation ('merely alerts') rather than W_ind.,YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,T-61f1972a9861,inventory,True,S,U,0,"W-ind is only weakly suggested by “other sources,” which is nonspecific; support rests on reading the output as a bounded review-trigger (W-nar).",YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,T-3e96a1b29c22,inventory,True,S,S,1,"The rationale clearly supports a narrow-output mechanism (fingerprint quality screening, not overall adjudication). It also mentions FBI check results and human review, which could suggest an independent basis, but it does not clearly state that those non-AI inputs are the actual basis of the consequential decision; thus W_ind is UNCLEAR.",YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,T-1a8b3a877c1f,inventory,True,S,S,1,"W-nar and H are intertwined: the rationale ties the limited output to non-determinative use, but also relies on human oversight.",YES,YES,NO,NO,YES,YES
gpt-5.4-2026-03-05,T-e12f01074a7f,inventory,True,S,S,1,Low ambiguity: the rationale expressly limits outputs to investigative leads and requires internal CBP or USG data before law enforcement decisions or actions.,YES,YES,YES,NO,YES,NO
gpt-5.4-2026-03-05,T-3e0e2944b563,inventory,True,U,U,1,"The rationale gives a bounded output (predicting aircraft landing locations) and says outputs are not a principal basis, which could suggest W-nar, but it does not clearly explain how that bound itself prevents consequential action in the workflow.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,T-1425969ae25c,inventory,True,U,U,1,"O is somewhat borderline because the rationale names the output and a compliance context, but does not fully spell out the downstream workflow.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-e32d814335cd,inventory,True,D,D,1,"The rationale mentions use with ""additional information derived outside of this AI tool,"" but that non-AI basis is too generic to qualify as W-ind under the codebook.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-b99b7f9db3af,inventory,True,S,S,1,W-nar is inferred from the bounded use described for staffing priorities and the statement that it is not used for security- or employment-related decisions; the rationale does not describe a more specific technical or procedural constraint.,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,T-70e1806a4255,inventory,True,D,U,0,"Reasonable split: AIS correlation and agent review of the underlying image may suggest an independent/non-principal triage role, but the rationale does not clearly state that a non-AI path or bounded mechanism prevents consequential action from depending on the AI output; this could read as either support or mere human-oversight defeater, so code U.",YES,YES,UNCLEAR,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,T-f59a322b4b96,inventory,True,S,S,1,W-ind depends on reading CBP Super Query/imagery information as independent non-AI checks that gate field response.,YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,T-3e441efceab0,inventory,True,U,U,1,"The rationale describes where the system is integrated, but not what AI output it provides or any rebuttal mechanism; this gives partial workflow context but not a recoverable output/use explanation.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-35f898647486,inventory,True,D,U,0,"The bounded detection function could suggest a narrow output, but the rationale does not explicitly explain that this technical bound itself prevents principal-basis use apart from human review.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-cfd1afe05c68,inventory,True,D,D,1,"The rationale names the policy predicate by quoting the definition, but it does not specify what the AI output actually is or how it is used. ""Never the only basis"" hints at another basis, but no non-AI evidence source or constraining procedure is identified.",YES,UNCLEAR,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-79fa6bfbdf44,inventory,True,S,D,0,"""other data"" is too unspecified for W-ind; support rests on reading anomaly-detection reports/tables as a bounded output that is insufficient on its own for corrective action.",YES,YES,NO,NO,YES,YES
gpt-5.4-2026-03-05,T-cd6ef69cc9cc,inventory,True,D,D,1,"O is somewhat vague because the output is described only as 'additional information.' 'Assistive tool' could be read as a narrow-use claim, but the rationale does not explain a limiting mechanism showing the AI cannot serve as a principal basis, so no W component qualifies.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,T-1b5a55fb5f11,inventory,True,S,U,0,W-nar depends on reading the output as procedurally bounded because it is only an upstream input and not directly shared with operators; the downstream decision chain is not otherwise described.,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,T-4b55610f4130,inventory,True,S,S,1,"Human review is clearly offered, and 'alongside other information and insights' hints at other bases, but those sources are not specifically identified, so W_ind is not supported. Status is S because a non-AI path is explicitly stated.",YES,YES,NO,YES,NO,YES
gpt-5.4-2026-03-05,T-c8716646c61f,inventory,True,S,D,0,"Human override could be read as the main reason, but the rationale also frames the AI output as bounded administrative routing rather than a consequential decision.",YES,YES,NO,NO,YES,YES
gpt-5.4-2026-03-05,T-93d9abe92b75,inventory,True,U,U,1,"Rationale is only 'This deals with international safeguars approaches.' It does not state any high-impact predicate, AI output/use, limiting mechanism, or human-review basis; 'safeguars' appears to be a typo.",NO,NO,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-527ae4bd3d6a,inventory,True,U,U,1,"Output is identifiable, but the rationale does not explain any qualifying W mechanism. The bounded subject matter ('scratching') might suggest narrowness, but it is not explicitly linked to why the AI output could not be a principal basis for a consequential action.",YES,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-247d9ff961dd,inventory,True,U,U,1,"The rationale states an output (a count of people) and a privacy measure (images deleted), but it does not say how the count is used in a workflow or provide any mechanism linking the narrow function to the denial of high-impact status.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-739581454da2,inventory,True,S,S,1,O and W_nar rely on reading the described extraction/completeness-validation function as a bounded workflow role; the rationale does not name a downstream decision process in detail.,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,T-82676cbec526,inventory,True,U,U,1,Rationale gives a research/non-operational defense; under the codebook that is not a qualifying W mechanism. It names context but not a clear AI output and workflow.,YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-0104c3e1bf9d,inventory,True,S,S,1,W-opt is supported by combining the manual-search description with the later statement that adjudications are 'not dependent on the use case.' W-ind and W-nar are not clearly stated beyond that.,YES,YES,UNCLEAR,YES,UNCLEAR,YES
gpt-5.4-2026-03-05,T-6e05e26a6734,inventory,True,S,S,1,W-nar is somewhat overlapping with W-opt: the rationale frames no-match as routing the traveler to another means rather than triggering a CBP action.,YES,YES,NO,YES,YES,NO
gpt-5.4-2026-03-05,T-7530fa9894b4,inventory,True,U,U,1,"Could be read as S if the narrow extraction function itself is treated as the limiting mechanism, but the rationale does not explicitly explain how that bound keeps the output from being a principal basis in workflow.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,T-ec1eec917acc,inventory,True,U,U,1,"The rationale identifies a bounded use (cheating detection during an exam) and says it is outside federal services/benefits requests, but it does not explain whether that output can affect exam or licensing outcomes or why that bound prevents the AI from serving as a principal basis for a consequential action.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,T-d0d326f5382a,inventory,True,U,U,1,"The rationale describes a safety-related alert/avoidance function and pilot receipt of the alert, but it does not state any rebuttal predicate or limiting mechanism; pilot involvement appears descriptive, not a load-bearing exclusion reason.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-46c1e0453ae6,inventory,True,D,S,0,"The rationale names a non-AI basis for ""further actions"" (what agents encounter on scene), which could support W-ind. But dispatch/notification still appears to follow the AI detection plus human review, so it is unclear whether the independent basis defeats reliance on the AI for the consequential actions at issue. Reasonable readings could yield S or D, so U.",YES,YES,UNCLEAR,NO,NO,YES
gpt-5.4-2026-03-05,T-4f967bc47dbb,inventory,True,U,U,1,"Could be read as a procedurally narrow, administrative use limit (staffing priorities only), but it does not clearly explain why that bound prevents the output from serving as a principal basis for a consequential action.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,T-22212d16035b,inventory,True,U,U,1,"Rationale is mainly temporal/prematurity-based ('not yet live in production'; use 'will need to determine'). It describes outputs but not a current workflow or rebuttal to the high-impact threshold. 'Review' is prospective process review, not a present human-review warrant for consequential decisions.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-9d5c322cd3a3,inventory,True,S,S,1,W-ind is supported by 'other government data holdings' plus a before-enforcement constraint; W-nar is suggested by 'structured annotations and insights'/'supplementary tool' but not stated as a standalone limiting mechanism.,YES,YES,YES,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,T-07c5553a903f,inventory,True,S,D,0,"W-ind is somewhat general because 'validating the source data' does not specify the independent evidence in detail, but the rationale still ties validation/investigative steps to action not principally depending on the AI output.",YES,YES,YES,NO,YES,YES
gpt-5.4-2026-03-05,T-3e19adf323a0,inventory,True,S,S,1,"W-nar is not clearly established: the rationale frames outputs as 'supporting information' and 'leads,' but the clearest qualifying mechanism is the separate independent evidentiary/institutional process, so status remains S.",YES,YES,YES,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,T-7cb7bb801fa9,inventory,True,U,U,1,"The rationale describes a logging function, but it does not state any denied high-impact predicate or explain why the bounded logging role defeats that predicate. The precise AI output could be read as either facial-recognition matching or the resulting access log.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,T-02296c740e62,inventory,True,S,S,1,W_ind depends on treating the 'full Federal Investigation Process' as a sufficiently identified non-AI procedure rather than only generic validation/human review.,YES,YES,YES,NO,NO,YES
gpt-5.4-2026-03-05,T-9224d600b843,inventory,True,S,S,1,W-ind is not supported because no specific non-AI evidence source or check is identified. W-opt/W-nar are supported by the advisory-only photo-quality message and the statement that EAD adjudication is not dependent on the tool.,YES,YES,NO,YES,YES,NO
gpt-5.4-2026-03-05,T-8c725571ab27,inventory,True,S,U,0,W-ind is somewhat close because 'manual validation' alone would not qualify; coded YES based on the added 'further investigation before enforcement actions' language. W-nar is also supported by outputs framed as 'suggestions' used to prioritize review rather than determine outcomes.,YES,YES,YES,NO,YES,YES
gpt-5.4-2026-03-05,T-c60868e1c03a,inventory,True,S,S,1,"Human review is explicitly stated, but S is supported by the separately named investigation/prosecution process. Whether ""data preparation and organization"" alone qualifies as W-nar is unclear.",YES,YES,YES,NO,UNCLEAR,YES
gpt-5.4-2026-03-05,SYN-C01,synthetic,True,S,S,1,,YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,T-1605b4c2cfa3,inventory,True,S,S,1,"The rationale hints at independent review/other evidence ('alongside other information and insights') and bounded informational outputs ('report or dashboard'), but it does not specify a concrete non-AI evidence source or clearly explain a narrow-output limiting mechanism. S rests on the explicit non-AI alternative.",YES,YES,UNCLEAR,YES,UNCLEAR,YES
gpt-5.4-2026-03-05,T-7e7a9b400b1b,inventory,True,S,U,0,W-ind is not clearly established because 'full investigative process' and 'validation' are generic and do not clearly specify an independent non-AI evidence source; S rests on W-nar.,YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,SYN-C04,synthetic,True,S,S,1,"Minor: ""anomaly-detection output"" is generic, but it still identifies the AI output and its role in the lien workflow.",YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-C03,synthetic,True,S,S,1,"Human adjudicator review is present, but it is tied to a specific independent regulatory confirmation process, so it supports W-ind rather than standing alone as H.",YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-C02,synthetic,True,S,S,1,The queue-management description also plausibly supports W_nar as a bounded operational role; the human staff reference is not separately coded as H because it functions within the independent-basis mechanism.,YES,YES,YES,NO,YES,NO
gpt-5.4-2026-03-05,SYN-C09,synthetic,True,S,S,1,,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,SYN-C08,synthetic,True,S,S,1,"Low ambiguity; the rationale clearly gives a principal-basis denial and a technical narrowness mechanism, but does not mention any independent non-AI basis, non-AI alternative, or human review.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,SYN-C06,synthetic,True,S,S,1,"Human discretion overlaps with the explicit non-AI alternative, but W-opt is clearly stated, so status remains S.",YES,YES,NO,YES,NO,YES
gpt-5.4-2026-03-05,SYN-C10,synthetic,True,S,S,1,Low ambiguity: the rationale explicitly denies principal-basis use and gives a bounded operational mechanism (sandbox/no production mapping).,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,SYN-D01,synthetic,True,D,D,1,No policy predicate or AI output/use is stated; the rationale rests only on human final decision-making.,NO,NO,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D02,synthetic,True,D,D,1,No policy-threshold predicate is stated; the rationale rests on human review/approval of recommendations before action.,NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-C05,synthetic,True,S,S,1,"The text clearly supports a non-AI alternative (W_opt). It may also imply an independent-basis mechanism via manual review of original documents, but that constraining relation is less explicit, so W_ind is coded UNCLEAR.",YES,YES,UNCLEAR,YES,NO,YES
gpt-5.4-2026-03-05,SYN-D04,synthetic,True,D,D,1,"""reject"" could suggest a non-AI path, but the rationale does not state an alternative process that avoids dependence on the AI output.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D08,synthetic,True,D,D,1,"The tool’s output/role is not specified, and the sign-off does not identify any independent non-AI basis.",NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D05,synthetic,True,D,D,1,"P is only implicit through the consequential action ('Final approval'), not an explicit denial of principal-basis or similar threshold; 'other information' is unspecified, so it does not qualify as an independent-basis mechanism.",YES,UNCLEAR,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D07,synthetic,True,D,D,1,"'recommendation' indicates an output and workflow role, but the rationale does not state the policy threshold being denied or any qualifying W mechanism beyond human review.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D03,synthetic,True,D,D,1,"The text implies the AI output is not the only input, but it does not identify any non-AI source or procedure, so W_ind is not established. ""Determination"" is unspecified, so the policy predicate is not publicly identified.",NO,UNCLEAR,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D06,synthetic,True,D,D,1,"The rationale clearly relies on human oversight, but it does not identify the AI output or a qualifying non-AI limiting mechanism. The phrase ""not solely responsible for the outcome"" gestures toward a threshold denial without stating the specific high-impact predicate.",NO,NO,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-D09,synthetic,True,D,D,1,"""advisory"" could suggest a narrow output, but the rationale does not independently explain a limiting mechanism beyond human final authority, so it codes as H without a qualifying W.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-C07,synthetic,True,S,S,1,W-opt is clear from the stated manual alternative. W-ind is less clear because the passage more directly describes an alternative path than an independent non-AI basis within the same AI-assisted determination; O's workflow role is inferred from adoption/non-adoption of the summary.,YES,YES,UNCLEAR,YES,NO,YES
gpt-5.4-2026-03-05,SYN-E03,synthetic,True,S,U,0,"Queue-positioning for interview scheduling is a bounded procedural role, supporting W-nar, though the rationale does not elaborate further on why scheduling cannot itself be consequential.",YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,SYN-D10,synthetic,True,D,D,1,"""flagged case"" implies an AI flag and workflow, and ""adverse action"" implies a consequential decision, but no non-AI evidence source or non-AI path is identified; the rationale rests on human review/discretion.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-E04,synthetic,True,S,U,0,W-nar is the best fit because the rationale bounds the score to examiner assignment rather than opening an examination; no independent non-AI basis is identified.,YES,YES,NO,NO,YES,NO
gpt-5.4-2026-03-05,SYN-G01,synthetic,True,U,U,1,"Mentions a human recipient ('compliance analyst') but not as a stated review/discretion warrant, and gives no policy predicate or limiting mechanism.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-F01,synthetic,True,U,U,1,"The rationale clearly denies the principal-basis predicate and names an independent verification source, but it does not identify what the AI output is or its specific informational role in the workflow, so O is UNCLEAR and S is not met.",YES,UNCLEAR,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-G03,synthetic,True,U,U,1,"The rationale clearly states the output and workflow use, but it does not identify the denied high-impact predicate or explain any limiting mechanism; sequencing site visits might seem narrow, but no explicit non-principal-basis connection is stated.",NO,YES,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-G05,synthetic,True,D,U,0,The rationale explicitly denies the predicate but gives no AI output/use; 'not automated' supports a human-oversight reading (H) rather than any qualifying W mechanism.,YES,NO,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-E02,synthetic,True,U,U,1,"""suggested disposition"" may imply a bounded recommendation-only role, but the rationale does not explain a limiting mechanism, non-AI basis, or human review.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,SYN-E01,synthetic,True,U,U,1,"""further agency processing"" may hint at later human or procedural review, but the rationale does not identify a non-AI basis, a constraining check, or explicit human discretion.",YES,YES,UNCLEAR,NO,UNCLEAR,UNCLEAR
gpt-5.4-2026-03-05,SYN-E05,synthetic,True,U,U,1,"""initial severity rating"" may imply a bounded preliminary role, but the rationale does not explain any non-AI constraint or other mechanism that prevents the AI estimate from serving as a principal basis.",YES,YES,NO,NO,UNCLEAR,NO
gpt-5.4-2026-03-05,SYN-G04,synthetic,True,U,U,1,"The text names the denied predicate ('principal basis') but does not identify what the AI output is or how it is used. 'Other factors control the outcome' suggests a possible independent basis, but the factors are unspecified, so W-ind does not qualify.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-G02,synthetic,True,D,U,0,"""prior-authorization"" signals a consequential decision context, but the rationale does not explicitly articulate any non-AI limiting mechanism beyond clinician consideration.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-G06,synthetic,True,U,U,1,O is unclear because the rationale mentions 'AI output' and its relation to the determination but does not identify what output the AI supplies or its concrete workflow role.,YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-G07,synthetic,True,S,U,0,"P is implied via the consequential action (award amount/disbursement) and independence from the automated suggestion, not by an explicit high-impact-threshold phrase.",YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-H01,synthetic,True,U,U,1,"Generic conclusion only; no output/use, qualifying W mechanism, or human-review basis is disclosed.",NO,NO,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-H02,synthetic,True,U,U,1,"""does not drive outcomes"" can be read as a denial that the AI is the principal basis for outcomes, but the rationale does not identify the AI output or how it is used in the workflow; ""assistive in nature"" is too generic to establish O or a qualifying W mechanism.",YES,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-J02,synthetic,True,S,S,1,,YES,YES,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-H03,synthetic,True,U,U,1,"""one of several inputs"" may imply the AI is not the sole or principal basis, but the rationale does not identify any non-AI input, the output type, or any consequential decision/action.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-G08,synthetic,True,U,U,1,"The rationale identifies a consequential action and an independent database check, but it never states what the AI outputs are or explicitly links the check to non-dependence on those outputs.",YES,NO,YES,NO,NO,NO
gpt-5.4-2026-03-05,SYN-I01,synthetic,True,D,contested,0,"The rationale names a human review step and a non-AI datum, but it does not clearly identify the consequential policy predicate or clearly state that the determination does not principally depend on the score when used.",UNCLEAR,YES,UNCLEAR,NO,NO,YES
gpt-5.4-2026-03-05,SYN-J01,synthetic,True,D,D,1,"The sentence identifies a consequential eligibility decision and human approval, but it also says there is no independent reverification, which cuts against any independent-basis reading.",YES,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-I03,synthetic,True,D,contested,0,"""independently sourced verification step"" suggests some non-AI check, but the source/process is not specified, and the second clause says the case manager's assessment of the AI recommendation controls when documentation is absent.",NO,YES,NO,NO,NO,YES
gpt-5.4-2026-03-05,SYN-I02,synthetic,True,S,contested,0,"W_ind is UNCLEAR: ""the applicant's full file"" is a named non-AI source, but the rationale does not clearly state that the denial is constrained by that source rather than principally by the recommendation.",YES,YES,UNCLEAR,NO,YES,YES
gpt-5.4-2026-03-05,SYN-J05,synthetic,True,U,U,1,"“informational only” may gesture toward a narrow-mechanism rationale, but the codebook excludes such labels without an explained limiting connection to why the output cannot be a principal basis. The rationale also names an output only generically and does not explain workflow use.",NO,UNCLEAR,NO,NO,NO,NO
gpt-5.4-2026-03-05,SYN-J07,synthetic,True,U,U,1,"Rationale gives only a temporal/non-deployment defense ('limited internal pilot,' 'has not been deployed to production,' 'no live case'), which the codebook excludes as a W mechanism; it does not state the denied high-impact predicate, the AI output/workflow, or human-review grounds.",NO,NO,NO,NO,NO,NO
