model,template_id,original_vector,original_status,whitespace_vector,whitespace_status,human_review_vector,human_review_status,multiple_sources_vector,multiple_sources_status,independent_basis_vector,independent_basis_status
gpt-6-astra,T-3e19adf323a0,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-3e441efceab0,NO/UNCLEAR/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-3e96a1b29c22,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/NO,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S
gpt-6-astra,T-41cbe51c871e,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-46c1e0453ae6,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-4ae31d537142,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-6-astra,T-4b55610f4130,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-6-astra,T-4c341bf155e4,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-4e2df62dcd71,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-4f967bc47dbb,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-527ae4bd3d6a,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-61f1972a9861,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-61fb7c4ffc61,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-6e05e26a6734,YES/YES/NO/UNCLEAR/UNCLEAR/NO,U,YES/YES/NO/UNCLEAR/UNCLEAR/NO,U,YES/YES/NO/UNCLEAR/UNCLEAR/YES,D,YES/YES/UNCLEAR/UNCLEAR/UNCLEAR/YES,D,YES/YES/YES/UNCLEAR/UNCLEAR/NO,S
gpt-6-astra,T-70e1806a4255,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-73364a2de99d,NO/NO/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/YES,U
gpt-6-astra,T-739581454da2,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-7530fa9894b4,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-79b6c7760b49,YES/NO/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/NO/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/YES,U
gpt-6-astra,T-79fa6bfbdf44,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-7c48cabab497,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-7cb7bb801fa9,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-7e7a9b400b1b,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-82676cbec526,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-88c2703d4c0f,YES/YES/YES/UNCLEAR/YES/YES,S,YES/YES/YES/UNCLEAR/YES/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/YES,S
gpt-6-astra,T-8c725571ab27,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-8c856430c4bd,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-8e7ddb102390,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-9224d600b843,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/NO/YES/YES/NO,S,YES/YES/NO/UNCLEAR/YES/YES,S,YES/YES/NO/UNCLEAR/YES/NO,S,YES/YES/YES/UNCLEAR/YES/YES,S
gpt-6-astra,T-93d9abe92b75,NO/NO/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/YES,D,UNCLEAR/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-9d5c322cd3a3,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-a3d7df36b0ea,YES/YES/NO/NO/UNCLEAR/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-b99b7f9db3af,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-ba14dc894672,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-bf30867b6bf4,YES/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-c503d2fbb79b,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-c60868e1c03a,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-c8716646c61f,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-c961f5774051,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-cd6ef69cc9cc,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-cfd1afe05c68,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/YES,U
gpt-6-astra,T-d0d326f5382a,NO/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-d39c21ea4512,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-e12f01074a7f,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/YES/NO,S
gpt-6-astra,T-e2b1ee3e9028,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-e32d814335cd,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-e3b0c44298fc,NO/UNCLEAR/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-6-astra,T-ec1eec917acc,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-6-astra,T-f49fc88319d0,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-f59a322b4b96,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S
gpt-6-astra,T-f6d1903d8370,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-00202881d718,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-0104c3e1bf9d,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-02296c740e62,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S
gpt-5.4-mini-2026-03-17,T-037d2edc22d0,YES/YES/YES/YES/NO/NO,S,YES/YES/NO/YES/YES/NO,S,YES/YES/NO/YES/YES/YES,S,YES/YES/YES/YES/YES/NO,S,YES/YES/YES/YES/NO/NO,S
gpt-5.4-mini-2026-03-17,T-04dfa13cd155,YES/NO/NO/NO/NO/NO,U,YES/NO/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-06fac8b35612,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/NO,U,NO/YES/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-07c5553a903f,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/YES/YES/NO,S
gpt-5.4-mini-2026-03-17,T-12ed683e528f,YES/YES/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,UNCLEAR/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-1425969ae25c,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,UNCLEAR/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-1605b4c2cfa3,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/UNCLEAR/NO/YES,D,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/YES/NO/YES,S
gpt-5.4-mini-2026-03-17,T-1a8b3a877c1f,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/YES/YES,S
gpt-5.4-mini-2026-03-17,T-1b5a55fb5f11,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-1d482d39ec2c,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/UNCLEAR/NO/NO/NO/YES,D,YES/UNCLEAR/NO/NO/NO/NO,U,YES/NO/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-22212d16035b,NO/UNCLEAR/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,UNCLEAR/UNCLEAR/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,NO/UNCLEAR/YES/UNCLEAR/NO/NO,U
gpt-5.4-mini-2026-03-17,T-247d9ff961dd,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/NO,U,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/NO,U,UNCLEAR/YES/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-282ad145c93c,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-2ca831780599,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-35f898647486,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-3e0e2944b563,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-3e19adf323a0,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/YES/NO,S,YES/YES/YES/NO/NO/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-3e441efceab0,NO/YES/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/YES,D,NO/UNCLEAR/NO/NO/NO/NO,U,UNCLEAR/UNCLEAR/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-3e96a1b29c22,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/UNCLEAR/NO/YES/YES,S,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-41cbe51c871e,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/YES/NO,S
gpt-5.4-mini-2026-03-17,T-46c1e0453ae6,YES/YES/UNCLEAR/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-4ae31d537142,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-4b55610f4130,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/NO/YES/NO/YES,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-4c341bf155e4,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/UNCLEAR/YES,D,NO/YES/NO/NO/NO/YES,D,NO/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S
gpt-5.4-mini-2026-03-17,T-4e2df62dcd71,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-4f967bc47dbb,NO/NO/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/YES,D,NO/NO/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-527ae4bd3d6a,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-61f1972a9861,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/NO,U,YES/YES/YES/NO/NO/YES,S,YES/YES/YES/NO/NO/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-61fb7c4ffc61,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/NO,U,YES/YES/NO/NO/NO/YES,D,YES/YES/UNCLEAR/NO/NO/NO,U,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-6e05e26a6734,NO/YES/NO/YES/NO/NO,U,NO/NO/NO/YES/NO/NO,U,NO/YES/NO/YES/NO/YES,U,NO/UNCLEAR/NO/YES/NO/NO,U,YES/YES/YES/YES/NO/NO,S
gpt-5.4-mini-2026-03-17,T-70e1806a4255,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/YES,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/NO/YES,D,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-73364a2de99d,NO/NO/NO/NO/NO/NO,U,NO/NO/NO/NO/NO/NO,U,NO/UNCLEAR/NO/NO/NO/YES,D,NO/NO/NO/NO/NO/NO,U,NO/NO/YES/NO/NO/NO,U
gpt-5.4-mini-2026-03-17,T-739581454da2,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/YES,S,YES/YES/NO/NO/YES/NO,S,YES/YES/YES/NO/NO/NO,S
gpt-5.4-mini-2026-03-17,T-7530fa9894b4,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/YES/NO,S,YES/YES/NO/NO/NO/YES,D,YES/YES/NO/NO/YES/NO,S,YES/YES/YES/NO/NO/NO,S
